NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Hanako-kun y los misterios de la Academia Kamome #1|1|1|/panini-manga-mx/hanako-kun/hanako-kun-01.jpg|178|129.0|MXN|2021-04-14|"En la Academia Kamome corre el rumor de que existen 7 misterios. Se dice que hay ""una tal Hanako-san"" en el tercer cubículo del baño de chicas del tercer piso del edificio viejo y que le cumple cualquier deseo a quien la invoque. Nene Yashiro quiere cumplir sus deseos, por lo que dedica todo su tiempo a las historias de fantasmas. ¡Este es el primer volumen de una conmovedora comedia de baño que gira alrededor de Hanako-kun, el séptimo misterio de la academia, y una chica obsesionada con lo oculto!"|978-6-075-68346-1|1|false
Hanako-kun y los misterios de la Academia Kamome #2|2|2|/panini-manga-mx/hanako-kun/hanako-kun-02.jpg|178|129.0|MXN|2021-05-12|"Nene Yashiro hace un trato con Hanako-Kun (también conocido como ""Hanako-San del Baño"") para deshacerse de la maldición que la atormenta. Ambos se infiltraron en las Escaleras Misaki, uno de los siete misterios de la Academia de los que tanto hablan los estudiantes, para rescatar a la mejor amiga de Nene, quien fue absorbida por las escaleras. ¡Es el segundo volumen de esta comedia romántica de horror retro, protagonizada por un chico espectro y una chica obsesionada con lo oculto!"|978-6-075-68362-1|1|false
Hanako-kun y los misterios de la Academia Kamome #3|3|3|/panini-manga-mx/hanako-kun/hanako-kun-03.jpg|178|129.0|MXN|2021-06-09|"Nene Yashiro, la chica aficionada al ocultimso se convierte en la asistente de Hanako-Kun. Para conocer más sobre él, recurre a otro misterio: ""las estanterías de las cuatro en punto"", se dice que ahí hay libros que hablan del pasado y futuro de los asistentes a la Academia y ¡parece que ahí vio la imagen de Hanako-Kun antes de morir! Espectros y humanos se mezclan en esta comedia retro, ¿qué más podría suceder?"|978-6-075-68435-2|1|false
Hanako-kun y los misterios de la Academia Kamome #4|4|4|/panini-manga-mx/hanako-kun/hanako-kun-04.jpg|178|129.0|MXN|2021-07-14|"Kou Minamoto se encuentra vigilando a Hanako-Kun, también conocido como ""Hanako-San del Baño"". Ahora ha decidido ayudar a un fantasma que hace maldades en la entrada de la escuela, a resolver sus asuntos pendientes, para que pueda descansar en paz. Pero parece haber alguien más detrás de todo ello."|978-6-075-68482-6|1|false
Hanako-kun y los misterios de la Academia Kamome #5|5|5|/panini-manga-mx/hanako-kun/hanako-kun-05.jpg|178|129.0|MXN|2021-08-11|"Nene Yashiro comienza a trabajar como asistente de Hanako Kun, el séptimo misterio de la Academia. En una fiesta de té, a la que la llevó un personaje enigmático llamado Natsuhiko, parece haber conocido a la ""novia"" y al hermano menor de Hanako Kun. Además, se entera de que uno de los Siete Misterios se encuentra entre sus compañeros de clase. ¡Este es el quinto volumen, con la presentación de uno más de los Siete Misterios!"|978-6-075-68566-3|1|false
Hanako-kun y los misterios de la Academia Kamome #6|6|6|/panini-manga-mx/hanako-kun/hanako-kun-06.jpg|178|129.0|MXN|2021-09-08|¡Los guardianes del reloj hacen que todos los estudiantes de la Academia Kamome queden arrugaditos! Hanako-Kun se alía con cierta persona para traer de vuelta la paz a la escuela. Justo cuando estaban por resolver el caso, se revela el secreto de Nene, su asistente. ¡¿Qué le pasará ahora?! ¡Llega el impactante sexto volumen de la saga de los Siete Misterios!|978-6-075-68620-2|1|false
Hanako-kun y los misterios de la Academia Kamome #7|7|7|/panini-manga-mx/hanako-kun/hanako-kun-07.jpg|178|129.0|MXN|2021-10-20|La asistente de Hanako-Kun, Nene, es absorbida repentinamente por un espejo. Dentro de ese espejo conoce a un chico fantasma que se hace llamar Mitsuba. Ambos intentan escapar del espejo, pero la amenaza del tercer misterio, el Infierno de Espejos, está cada vez más cerca. ¡¿Quién fue quien los salvó a ambos en el último momento?! ¡Es el séptimo volumen, que nos sigue presentando los Siete Misterios de la Academia!|978-6-075-68671-4|1|false
Hanako-kun y los misterios de la Academia Kamome #8|8|8|/panini-manga-mx/hanako-kun/hanako-kun-08.jpg|178|129.0|MXN|2021-11-10|Han pasado tres días desde que regresaron del Tercer Misterio, el Infierno de Espejos, y Nene se dirige al festival de Tanabata de las fronteras en un intento por animar a Kou, quien parece estar deprimido. Se suponía que estaba disfrutando del festival junto con Hanako-Kun y Kou, pero de repente viajó 50 años en el pasado, ¡y ahí pareció encontrarse con Hanako-Kun antes de que este muriera! ¡Es el volumen número ocho, con un caos en el destino de los Siete Misterios de la Academia!|978-6-075-68738-4|1|false
Hanako-kun y los misterios de la Academia Kamome #9|9|9|/panini-manga-mx/hanako-kun/hanako-kun-09.jpg|178|129.0|MXN|2021-12-08|Aquel día, Nene llegó a la escuela como siempre y encontró a Hanako-Kun viviendo como un compañero de clase más. Pero solo a ella le parecía extraño. ¿Qué no se supone que Hanako-Kun es un fantasma? ¡Se dirige hacia la torre misteriosa para descubrir la verdad! ¡Es el volumen número nueve, donde los misterios juegan con la realidad!|978-6-075-68774-2|1|false
Hanako-kun y los misterios de la Academia Kamome #10|10|10|/panini-manga-mx/hanako-kun/hanako-kun-10.jpg|178|139.0|MXN|2022-01-12|Tienen que matar a Amane Yugi y a Sosuke Mitsuba para poder volver al mundo real. ¡Nene le propone un plan a Hanako-Kun para escapar del mundo ficticio, mientras que Kou intenta convencer a Mitsuba! ¡Es el emocionante tomo diez, donde los misterios están más hambrientos que nunca!|978-6-075-68879-4|1|false
Hanako-kun y los misterios de la Academia Kamome #11|11|11|/panini-manga-mx/hanako-kun/hanako-kun-11.jpg|178|139.0|MXN|2022-02-09|Amane Yugi, también conocido como Hanako-Kun, finalmente se muestra como es. Su objetivo era encerrar a Nene en el mundo ficticio para que no dejar que muera porque le queda poco tiempo de vida. ¡Aun sabiendo esto, Nene desea volver al mundo real, por lo que le pide ayuda a Shijima, el cuarto misterio! ¡Es el número 11, donde los ideales de los Siete Misterios chocan entre sí!|978-6-075-68933-3|1|false
