NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Wotakoi: Qué difícil es el amor para los otaku #1|1|1|/panini-manga-mx/wotakoi/wotakoi-01.jpg|136|109.0|MXN|2019-03-20|¿Puede un oficinista que es secretamente un empedernido gamer y una mujer que es en secreto una fujoshi salir sin que sus pasatiempos se entrometan en su relación o sin revelar su secreto? Para Narumi Momose no ha sido fácil encontrar pareja, cada novio la ha dejado cuando se enteran de sus aficiones, eso la ha llevado a ocultar que es una fujoshi. Pero cuando entra a su nuevo trabajo, encuentra a su amigo de la infancia Hirotaka Nifuji quien sabe de su secreta afición. Ella pensará en un plan para que no diga su secreto, pero él le hace una contrapropuesta, ¿Por qué no empiezan a salir?|978-6-075-48834-9|1|false
Wotakoi: Qué difícil es el amor para los otaku #2|2|2|/panini-manga-mx/wotakoi/wotakoi-02.jpg|192|109.0|MXN|2019-06-12|Narumi Momose, una fan del yaoi que trata de esconder su afición a la sociedad, y Hirotaka Nifuji, un gamer sin remedio al que no le importa mostrarse tal cual es, empezaron una relación. Al descubrir que otra pareja de la empresa donde trabajan, Tarô Kabakura y Hanako Koyanagi, también es otaku, se hacen amigos y comparten sus aficiones como no pudieron hacer nunca antes. Sin embargo, un día Narumi se reencuentra con un chico misterioso, Naoya, con el que se muestra muy cercana... ¿Va a peligrar su relación con Hirotaka?|978-6-075-48962-9|1|false
Wotakoi: Qué difícil es el amor para los otaku #3|3|3|/panini-manga-mx/wotakoi/wotakoi-03.jpg|120|109.0|MXN|2019-07-24|"Narumi Momose, una fan del yaoi que hasta ahora ocultaba su afición a la sociedad, y Hirotaka Nifuji, un gamer sin remedio, son amigos de la infancia, compañeros de trabajo y desde hace poco comenzaron a salir juntos. Sin embargo, a él le preocupa que su relación no haya cambiado desde que eran pequeños, con lo que le propone salir un día y tener una cita ""normal""... con una condición: no pueden hacer ninguna referencia otaku. Al mismo tiempo, van a seguir compartiendo sus aficiones y fetiches con la otra pareja otaku que trabaja en su misma empresa, Tarô Kabakura y Hanako Koyanagi."|978-6-076-34128-5|1|false
Wotakoi: Qué difícil es el amor para los otaku #4|4|4|/panini-manga-mx/wotakoi/wotakoi-04.jpg|200|109.0|MXN|2019-09-25|-|978-6-076-34270-1|1|false
Wotakoi: Qué difícil es el amor para los otaku #5|5|5|/panini-manga-mx/wotakoi/wotakoi-05.jpg|128|109.0|MXN|2019-11-27|Narumi y compañía siguen compaginando sus vidas con sus hobbies como otaku. Poco a poco, Hirotaka se va abriendo al mundo y hace cosas que nunca se habría planteado hacer, como ir a un festival. También veremos a Narumi y a Hanako trabajar para hacer su primer cosplay juntas. Paralelamente, el hermano de Hirotaka, Naoya, se hace amigo de Ko, que creía que era un chico, pero la ve salir del baño de mujeres y Ko se va llorando. Sin saber qué hacer, Naoya le pide consejo a Narumi. ¡Un tomo lleno de emociones y amistad!|978-6-076-34356-2|1|false
Wotakoi: Qué difícil es el amor para los otaku #6|6|6|/panini-manga-mx/wotakoi/wotakoi-06.jpg|128|119.0|MXN|2020-01-29|Narumi y compañía se enfrentan a una nueva aventura: un viaje de la empresa para los trabajadores. Para Hirotaka, este va a ser el primer viaje que hace en mucho tiempo y su primera vez en un balneario, por lo que Narumi decide darle espacio para que se divierta con sus nuevos amigos... y controlar sus ganas de hablar con él. Al mismo tiempo, el grupo finalmente conocerá a Ko y va a comenzar a acercarse a ella a través de los arcade y los juegos online.|978-6-076-34545-0|1|false
Wotakoi: Qué difícil es el amor para los otaku #7|7|7|/panini-manga-mx/wotakoi/wotakoi-07.jpg|128|119.0|MXN|2020-06-17|Hanako siente que últimamente pelea menos con Kabakura y le preocupa que él se haya cansado hasta de discutir con ella. En medio de las dudas, pierde el collar que él le regaló en la preparatoria... y empiezan los problemas. Al mismo tiempo, Ko evoluciona un poco: se empieza a hacerse amiga de Narumi y estrecha lazos con Naoya y sus amigos. Por su lado, Hirotaka reflexiona sobre si él es muy inexpresivo o si es el resto de la gente es demasiado obvia, y las ventajas que conlleva ser así.|978-6-076-34756-0|1|false
Wotakoi: Qué difícil es el amor para los otaku #8|8|8|/panini-manga-mx/wotakoi/wotakoi-08.jpg|128|119.0|MXN|2020-09-16|Hanako y Kabakura comienzan los preparativos de la boda y se dan cuenta de que cada vez van a estar más ocupados. Sin embargo, tratan de encontrar tiempo para dedicarlo a sus amigos y a sus pasatiempos. El primer paso es decirlo en el trabajo, pero para Kabakura esto es más difícil de lo que parece. Por su lado, un día Ko se encuentra con Narumi y conoce al fin a Hanako. Además, cada vez está más acostumbrada a estar con Naoya y su grupo, aunque cuando se queda a solas con sus amigos aún se pone nerviosa. Empieza a preguntarse por qué será que con Naoya puede relajarse tanto.|978-6-076-34998-4|1|false
Wotakoi: Qué difícil es el amor para los otaku #9|9|9|/panini-manga-mx/wotakoi/wotakoi-09.jpg|120|119.0|MXN|2021-02-17|Hanako y Kabakura están ocupados con los preparativos finales de la boda, pero no consiguen ponerse de acuerdo en un tema: Hanako quiere hacer cosplay en la boda y Kabakura se niega a hacer cualquier cosa otaku. Ambos se desahogan con sus amigos y tratan de encontrar una solución. Por otro lado, Ko consiguió un trabajo en una librería y deja de pasar tanto tiempo con Naoya y sus amigos. Estos, que saben cómo es Ko, se preocupan por si logrará desempeñarse bien en su trabajo.|978-6-075-68211-2|1|false
Wotakoi: Qué difícil es el amor para los otaku #10|10|10|/panini-manga-mx/wotakoi/wotakoi-10.jpg|128|119.0|MXN|2021-07-28|Naoya está preocupado porque no logra hablar con Ko y arreglar las cosas, así que pide consejo a sus dos amigos. Estos le sugieren estrategias, pero él lo único que quiere es hablar con ella; y por culpa de un trabajo de la universidad pronto tendrá menos tiempo para hacerlo. Mientras tanto, Hanako y Kabakura empiezan su vida de recién casados, mientras Narumi y Hirotaka siguen compartiendo momentos y problemas.|978-6-075-68516-8|1|false
