NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Pandora Hearts #1|1|1|/panini-manga-mx/pandora-hearts/pandora-hearts-01.jpg|192|129.0|MXN|2021-06-09|Oz Vessalius, heredero de un ducado, está a punto de celebrar su Ceremonia de la Mayoría de Edad. Ese día, encuentra un reloj de bolsillo en una tumba olvidada en el jardín de su mansión, lo que le hace ver una visión de una joven. En la ceremonia, unos encapuchados lo atacan y lo acusan de un crimen. Alice, la chica de la visión, se aparece en forma de un conejo sangriento y trata de defenderlo, pero Oz es enviado a la prisión del Abismo. ¿Será capaz de salir de ese lugar junto con Alice, también conocida como B-Rabbit, el conejo cubierto de sangre?|978-6-075-68450-5|1|false
Pandora Hearts #2|2|2|/panini-manga-mx/pandora-hearts/pandora-hearts-02.jpg|192|129.0|MXN|2021-07-14|El grupo de Oz llega a la mansión donde fue su Ceremonia de Mayoría de Edad para buscar recuerdos de Alice. Ahí es atacado por Raven, controlado como una marioneta de Zwei, unos de los Baskerville. Se entera que él es en realidad su sirviente Gilbert, y juntos derrotan a Zwei. También tienen un encuentro con la Voluntad del Abismo, quien es perseguida tanto por Pandora como por los Baskerville. Break le explica a Oz que él es la llave para obtenerla.|978-6-075-68461-1|1|false
Pandora Hearts #3|3|3|/panini-manga-mx/pandora-hearts/pandora-hearts-03.jpg|176|129.0|MXN|2021-08-11|Oz, Gilbert y Alice salen al mercado, donde se topan con una cadena y su contratista ilegal, que resulta ser el padre del nuevo amigo de Oz. Vincent Nightray, el hermano de Gilbert, se aparece y acaba con el contratista con la excusa de salvar a Oz, quien entra en pánico al no poder cumplir la promesa a su amigo. De regreso a la mansión de Sharon, Gilbert comienza a contarle a Oz lo que pasó después de que cayó al abismo y cómo fue adoptado por la familia Nightray.|978-6-075-68510-6|1|false
Pandora Hearts #4|4|4|/panini-manga-mx/pandora-hearts/pandora-hearts-04.jpg|178|129.0|MXN|2021-09-08|Gilbert hace que regresen a los barrios bajos a buscar su sombrero, y ahí se encuentran con Oscar, con el que tienen una reunión muy emotiva. Alice se aparta, y se topa con Break. De repente ambos son llevados por el Gato Cheshire a una dimensión formada por los recuerdos de Alice. Sharon informa a Oz y a Gilbert de lo sucedido, y logra enviarlos ahí para rescatar a los otros dos. ¿Qué le espera al grupo en tan extraño lugar? ¿Y quién es el joven rubio con el que se topan ahí?|978-6-075-68628-8|1|false
Pandora Hearts #5|5|5|/panini-manga-mx/pandora-hearts/pandora-hearts-05.jpg|178|129.0|MXN|2021-10-20|Oz va al rescate de Alice en la dimensión del Gato de Cheshire, pero se encuentra con una escena de pesadilla. Break se enfrenta con el Gato, y todos logran escapar al mundo exterior. Oz y Alice caen en los cuarteles de Pandora, y causan una gran conmoción. Los guardias los persiguen, pero Jack se apodera de Oz y con una voz autoritaria les informa que Oz es su nuevo héroe.|978-6-075-68713-1|1|false
Pandora Hearts #6|6|6|/panini-manga-mx/pandora-hearts/pandora-hearts-06.jpg|192|129.0|MXN|2021-11-17|Break logra rescatar a Sharon sana y salva a costa de lo que había obtenido en la dimensión del Gato de Cheshire. Después de esa aventura, el tío Oscar lleva a Oz, Gilbert y Alice al colegio Lutwidge para visitar a Ada, la hermana menor de Oz. Ahí, Oz escucha la melodía del reloj de bolsillo interpretada en un piano, y va a investigar. Entonces conoce a Eliot y Reo, estudiantes del colegio, pero ¡son atacados por los Baskerville antes de que pueda preguntarles algo sobre la canción!|978-6-075-68755-1|1|false
Pandora Hearts #7|7|7|/panini-manga-mx/pandora-hearts/pandora-hearts-07.jpg|178|129.0|MXN|2021-12-08|Jack Vessalius ahuyenta a los Baskerville, y Oz, Eliot y Reo logran escapar de regreso a la escuela. Sin embargo, Eliot tiene un arranque de ira cuando se entera de que Oz es el amo de Gilbert. Días después, Oz y los demás tienen una audiencia con el duque Rufus Barma, quien se dice posee toda clase de información. Intentan preguntarle sobre la Tragedia de Salbier, pero el duque se encuentra más interesado en Xerxes Break, y su oscuro pasado.|978-6-075-68802-2|1|false
Pandora Hearts #8|8|8|/panini-manga-mx/pandora-hearts/pandora-hearts-08.jpg|200|139.0|MXN|2022-01-19|Break les cuenta su pasado a Oz, Gilbert y Alice, y ellos lo reciben de nuevo con los brazos abiertos por ser amigos. De vuelta en la ciudad, Oz asiste a un festival donde se topa con Echo, y los dos pasan tiempo juntos. Pero, mientras tanto, Vincent le mete ideas extrañas a Gilbert. ¡Este tomo también incluye la historia corta original de Pandora Hearts!|978-6-075-68882-4|1|false
Pandora Hearts #9|9|9|/panini-manga-mx/pandora-hearts/pandora-hearts-09.jpg|178|139.0|MXN|2022-02-09|A Oz se le ocurre ir a investigar Salbier, la antigua capital, en busca de pistas del pasado de Break, Gilbert y Alice. Break y Reim se oponen, pero eso no lo detiene. Al rondar por las ruinas de la ciudad, las ilusiones de la Tragedia de Salbier, creadas por el poder del Abismo, tratan de llevarlos a su perdición. Además, los Baskerville también andan al acecho.|978-6-075-68924-1|1|false
Pandora Hearts #10|10|10|/panini-manga-mx/pandora-hearts/pandora-hearts-10.jpg|178|139.0|MXN|2022-03-16|Oz, Gilbert y Alice siguen atrapados por las ilusiones del fondo de la fosa de las ruinas de Salbier. Los tres se separan, y ahí a Gilbert le llegan imágenes como punzadas de sus recuerdos en la época anterior a la Tragedia de Salbier. ¿Qué fue lo que ocurrió en su infancia junto con Vincent?|978-6-075-68994-4|1|false
