NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Black Clover #1|1|1|/panini-manga-mx/black-clover/black-clover-01.jpg|192|99|MXN|2018-02-21|Asta y Yuna son dos huérfanos originarios de un área paupérrima del reino, pero en su infancia hacen la promesa de convertirse algún día en el Emperador Mágico. Yuna es prácticamente un superdotado, pero Asta. ¿Cuál es su verdadero poder? |978-6075288185|1|FALSE
Black Clover #2|2|2|/panini-manga-mx/black-clover/black-clover-02.jpg|192|99|MXN|2018-04-18|Asta enfrenta un extraño enemigo en su primera misión como miembro del escuadrón Toro Negro. La victoria representa un paso hacia su meta y a esa alegría se suma el que, por una casualidad, el Emperador conoce a Asta y lo designa para una importante misión en una mazmorra cercana a los límites del reino. Yuno también debe ir como parte del escuadrón Amanecer Dorado. Un reino enemigo también busca los tesoros de esa mazmorra y ambos escuadrones deberán trabajar unidos para vencerlo. ¿Serán capaces de abandonar sus diferencias para lograrlo? ¡Averígualo en el volumen dos de Black Clover!|978-6075480015|1|FALSE
Black Clover #3|3|3|/panini-manga-mx/black-clover/black-clover-03.jpg|192|99|MXN|2018-07-04|"Asta se enfrenta contra Mars del Reino Diamante, el país invasor. ¡Y se ve presionado por una difícil y peligrosa situación durante una batalla donde ni Yuno es capaz de hacer algo contra el poderoso enemigo! ¡¿Cuál será finalmente el rumbo de esta feroz batalla mortal?! ¡Aquí llega el final impactante del arco: ""La Masmorra""! "|978-6075481913|1|FALSE
Black Clover #4|4|4|/panini-manga-mx/black-clover/black-clover-04.jpg|184|99|MXN|2018-08-15|Mientras se celebraba la entrega de reconocimientos, la Ciudad Real es atacada por un repugnante mago cuya única magia es ciertamente desconcertante. Los Caballeros Mágicos deben luchar en diferentes puntos para proteger a la población, pero caen en una trampa que les deja el campo casi totalmente libre a sus enemigos. Tras luchar arduamente, Asta cae mal herido al lado de otros valientes caballeros. ¿Serán capaces de vencer en esta ocasión?|978-6075483276|1|FALSE
Black Clover #5|5|5|/panini-manga-mx/black-clover/black-clover-05.jpg|200|99|MXN|2018-10-24|El ataque a la Ciudad Real por parte del extraño grupo autodenominado El Ojo del Sol de Media Noche culmina con el secuestro de Asta y el robo de una piedra preciosa. Cuando los terroristas estaban a punto de eliminar a Asta, Julios Novachrono, el Emperador Mágico, aparece y, en un despliegue de fabuloso poder, salva a Asta y obtiene un prisionero. La paz vuelve al Reino Trébol, pero las operaciones del grupo terrorista son más amplias y esta vez su objetivo es la magia de los niños que aún no la han desarrollado. Cuando la hermanita de uno de los Toro Negro es secuestrada, ¡el infierno se desata una vez más!|978-6075484259|1|FALSE
Black Clover #6|6|6|/panini-manga-mx/black-clover/black-clover-06.jpg|200|99|MXN|2018-12-19|Si bien Gauche vuelve al lugar de la batalla a petición de su hermana Marie, no está convencido de que haya sido la mejor decisión, pues con todo y que Asta lucha incansablemente al lado de la hermana Theresa, el enemigo es demasiado poderoso. Poco a poco, la actitud de Gauche se modifica ¡y una nueva página se agrega a su grimorio! ¡Hay una oportunidad de sobrevivir! Pero no por mucho tiempo, pues un enemigo poseedor de un grimorio con un trébol de cuatro hojas aparece frente a ellos y Asta se convence de que esta vez… ¡sí morirá!|978-6075485089|1|FALSE
Black Clover #7|7|7|/panini-manga-mx/black-clover/black-clover-07.jpg|200|99|MXN|2019-02-20|Una traición del más alto nivel, una nueva amistad y un extraño certamen llenan los días de Asta. Luego de ayudar al Emperador Mágico a descubrir una impactante verdad acerca de uno de los capitanes de escuadrón de los Caballeros Mágicos, los Toros Negros son enviados a una de las regiones de “magia poderosa” para evitar que los enemigos del reino consigan las “piedras mágicas”. Se trata del Templo Bajo el Agua, un lugar especialmente peligroso. La antimagia de Asta y los poderes de Noelle resultan indispensables para esta misión, así como ciertas características que solo el escuadrón liderado por Yami parece poseer. Entrar ciertamente no será tarea fácil, pero salir en una sola pieza… ¡quizá sea verdaderamente imposible!|978-6075487632|1|FALSE
Black Clover #8|8|8|/panini-manga-mx/black-clover/black-clover-08.jpg|200|99|MXN|2019-04-20|La battle royale que se desarrolla en el templo bajo el agua se ve interrumpida por los enemigos que buscan la Piedra Mágica, armados de desesperanza y muerte. El Capitán Yani no puede ayudar a los miembros de su escuadrón, pues las reglas del certamen se mantendrán hasta que este llegue a su fin. La fuerza del ataque es avasalladora, pero la determinación de Asta para seguir adelante termina por prácticamente devorar la desesperanza que había sido sembrada. Para todos los caballeros del escuadrón Toro Negro, es momento de morir o crecer, signifique lo que signifique|978-6075488677|1|FALSE
Black Clover #9|9|9|/panini-manga-mx/black-clover/black-clover-09.jpg|192|99|MXN|2019-06-19|Tras finalizar una intensa batalla de sorprendente magia, los Toros Negros lograron aniquilar al equipo del Ojo del Sol de Media Noche y salvar el Templo Bajo el Agua. Al regresar al Reino del Trébol, el Emperador Mágico les agradece y festeja esta victoria. Sin embargo, la celebración es interrumpida porque Kiten, el centro de la defensa fronteriza, es atacada por un escuadrón del Reino de Diamante. ¿Podrán defenderse de los magos invasores?|978-6076340141|1|FALSE
Black Clover #10|10|10|/panini-manga-mx/black-clover/black-clover-10.jpg|200|99|MXN|2019-08-21|Los brazos de Asta resultaron gravemente dañados con magia negra antigua, motivo por el que se llena de desesperanza. Al enterarse, el Escuadrón Toro Negro se propone encontrar una solución y parten hacia el Bosque de las Brujas, lugar de origen de Vanessa. La Reina Bruja es experta en maldiciones, espíritus familiares y magia especial, así que es la única que puede curar los brazos de Asta, pero… ¡¿a qué precio?!|978-6076341766|1|FALSE
Black Clover #11|11|11|/panini-manga-mx/black-clover/black-clover-11.jpg|200|99|MXN|2019-10-16|Una gran batalla se lleva a cabo entre el ejército del Reino Diamante, el Ojo del Sol de Media Noche y el poder del Bosque de las Brujas. Mars, luego de traicionar a su patria, decide pelear con Asta y todos sus compañeros. Nuevamente, Asta sorprende con una técnica mortal que logra con ayuda de Vanessa y Finral. ¿Lograrán tener la fuerza suficiente para contraatacar a Ladros?|978-6076343395|1|FALSE
Black Clover #12|12|12|/panini-manga-mx/black-clover/black-clover-12.jpg|192|99|MXN|2019-12-18|El Festival de los Resultados está por comenzar. Es un evento muy importante que se lleva a cabo una vez al año para anunciar los logros de cada escuadrón mágico. Todos están nerviosos, pero deciden acudir juntos ahora que Asta regresó del Bosque de las Brujas y tienen un periodo de descanso. Sin embargo, el rey provoca una situación inimaginable… ¿Qué se trae entre manos?|978-6076345061|1|FALSE
Black Clover #13|13|13|/panini-manga-mx/black-clover/black-clover-13.jpg|192|99|MXN|2020-02-26|¡Por fin inicia el examen de los Caballeros Reales para seleccionar al escuadrón más poderoso! El desafío es un torneo de destrucción de cristales entre grupos de tres personas. Asta queda en el mismo equipo que Mimosa y Xerx, quien tiene problemas de carácter. Participan en la primera competencia, ¡pero reciben un ataque feroz del equipo contrario y acaban en una situación crítica! En la segunda competencia, ¡el hermano de Mimosa se presenta esplendorosamente!| 978-6076345931|1|FALSE
Black Clover #14|14|14|/panini-manga-mx/black-clover/black-clover-14.jpg|192|99|MXN|2020-06-10|En la segunda competencia del examen de selección, ¡el equipo de Astra lucha contra el equipo dirigido por Kirsch! Apoyado con Xerx y Mimosa, Asta emprende un ataque contra el poderoso Kirsch usando trampas, en las que son expertos, y su talento nato, las agallas. ¡¿También habrá una batalla entre sempai y kohai, Magna y Asta?! ¡En esta segunda competencia estalla el enfrentamiento entre los hermanos Finral y Langris!|978-6076347195|1|FALSE
Black Clover #15|15|15|/panini-manga-mx/black-clover/black-clover-15.jpg|192|99|MXN|2020-08-12|"¡El examen de selección de los caballeros reales por fin llega a su clímax! ¿Cuál será el equipo que alcanzará el extremo en esta batalla caótica y se coronará como el triunfador.? ¡¿Asta y Yuno lograrán superar el examen e ingresar al escuadrón de los seleccionados?! ¡El escuadrón de Los Caballeros reales bajo las órdenes del Rey y del Emperador mágico, por fin es fundado! ¡Ellos se dirigen hacia la aniquilación de ""El ojo del Sol de media noche"", y comienza una nueva batalla!"|978-6076348390|1|FALSE
Black Clover #16|16|16|/panini-manga-mx/black-clover/black-clover-16.jpg|192|99|MXN|2020-10-14|Gauche y compañía, quienes fueron atacados por El Ojo del Sol de Media Noche, logran revertir la situación con la participación de Henry, pero, ¿qué será lo que sucederá? Por otro lado, las dudas que Yami tiene respecto a Vangeance se profundizan y espera encontrarse con él, pero Vangeance está enfrentándose con el Emperador Mágico en la Capital Real.|978-6075680101|1|FALSE
Black Clover #17|17|17|/panini-manga-mx/black-clover/black-clover-17.jpg|192|99|MXN|2020-12-09|A fin de ejecutar su venganza, los elfos entran en cuerpos humanos y resucitan. Asta y los Caballeros Reales están en serias dificultades no obstante, Mereoleona decide combatir hasta el final. Luego, los elfos llegan hasta el pueblo Hage con intención de aniquilar a todos sus habitantes, pero Asta está determinado a detenerlos y Yuno se une a la batalla.|978-6075681443|1|FALSE
Black Clover #18|18|18|/panini-manga-mx/black-clover/black-clover-18.jpg|200|99|MXN|2021-03-10|La mente de Luck ha sido tomada por un elfo. Magna y Vanessa intentan desesperadamente traerlo de vuelta, pero no será una tarea sencilla. Sin embargo, no contaban con que Asta acudiría en su auxilio. Mientras tanto, la guarida del Escuadrón Toro Negro ha sido severamente dañada. Gracias a la magia de Henry, las piezas restantes se unen y la guarida se transforma en Toro Negro Furioso.|978-6075682426|1|FALSE
