NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
To Your Eternity #1|1|1|/panini-manga-mx/to-your-eternity/to-your-eternity-01.jpg|200|109.0|MXN|2020-01-22|"Alguien envía una misteriosa ""esfera"" a otro mundo. Este organismo, cuyo principal objetivo parece ser recabar la mayor información posible, es capaz de adoptar la forma de otros seres y trascender la muerte. Primero adoptará la de una roca y después, de musgo y de un lobo que muere a su lado. El primer humano con el que establecerá contacto es el antiguo dueño del animal: el único habitante de un poblado en ruinas de alguna región glacial."|978-6-076-34536-8|1|false
To Your Eternity #2|2|2|/panini-manga-mx/to-your-eternity/to-your-eternity-02.jpg|192|109.0|MXN|2020-03-11|March, la niña de Ninanna que iba a ser sacrificada a Oniguma, da a la esfera el nombre de Fushi. Cuando el ritual fracasa, llevan a March, a Parona y a Fushi a una prisión de Yanome. Fushi sigue absorbiendo toda clase de estímulos, especialmente de March, quien, ansiosa por hacerse una chica mayor y convertirse en mamá, lo cuida como si fuera su propio hijo.|978-6-076-34671-6|1|false
To Your Eternity #3|3|3|/panini-manga-mx/to-your-eternity/to-your-eternity-03.jpg|192|109.0|MXN|2020-06-10|"Fushi se encuentra con un niño llamado Gugu que oculta su cara con una máscara y dice ser un ""monstruo"". Gugu se siente identificado con la cualidad monstruosa de Fushi y lo acoge como si fuera su hermano pequeño. Gracias a ello, Fushi aprende poco a poco a vivir como los humanos, hasta que un día Gugu huye de la casa del abuelo licorero."|978-6-076-34820-8|1|false
To Your Eternity #4|4|4|/panini-manga-mx/to-your-eternity/to-your-eternity-04.jpg|192|109.0|MXN|2020-08-05|Los cuatro años que Fushi vivió con una familia lo hicieron más humano, pero esta vida tranquila ofrece tan pocos estímulos que apenas logró hacerse con nuevas adquisiciones. La paz llega a su fin cuando es atacado por un golpeador en la fiesta del cumpleaños de Lyn. ¿Será capaz de derrotarlo y proteger a todos con ayuda de Gugu?|978-6-076-34923-6|1|false
To Your Eternity #5|5|5|/panini-manga-mx/to-your-eternity/to-your-eternity-05.jpg|192|109.0|MXN|2020-10-14|A Fushi lo engañan para que viaje en barco rumbo a Jananda, la isla prisión a la que deportan a los más atroces asesinos de cada región. Al llegar, descubre que a Pioran la encerraron en una celda. Para rescatarla, se verá obligado a participar en el torneo de la isla, donde se decide quién será su líder, un combate a muerte que enloquece a los isleños.|978-6-075-68032-3|1|false
To Your Eternity #6|6|6|/panini-manga-mx/to-your-eternity/to-your-eternity-06.jpg|192|109.0|MXN|2021-01-20|Fushi acepta quedarse con Hayase a cambio de que Tonari y sus amigos puedan abandonar Jananda.|978-6-075-68126-9|1|false
To Your Eternity #7|7|7|/panini-manga-mx/to-your-eternity/to-your-eternity-07.jpg|192|109.0|MXN|2021-03-17|Fushi pasa mucho tiempo en una isla deshabitada, hasta que un día aparece Hisame, una niña descendiente de Hayase que es la nueva líder de los guardianes. Después de experimentar una nueva pérdida, se irá decidido a hacer nuevos amigos, pero no será fácil.|978-6-075-68228-0|1|false
To Your Eternity #8|8|8|/panini-manga-mx/to-your-eternity/to-your-eternity-08.jpg|192|109.0|MXN|2021-04-21|Bonchien, un joven príncipe capaz de ver a los muertos, captura a Fushi y quiere utilizarlo para obtener el trono de Uralis. Bonchien saldrá de expedición con Fushi y los guardianes para proteger a su reino de los golpeadores, pero los miembros del culto de Bennett detendrán al príncipe, acusado de hereje.|978-6-075-68315-7|1|false
To Your Eternity #9|9|9|/panini-manga-mx/to-your-eternity/to-your-eternity-09.jpg|192|119.0|MXN|2021-06-23|El príncipe Bon está convencido de que sus poderes para percibir el reino de los espíritus lo hacen infalible, hasta que el culto de Bennett lo encarcela. Bon es capaz de reconocer en Fushi un poder oculto que tampoco él mismo sospecha que posee, ¿pero de verdad necesita un inmortal una habilidad como esta?|978-6-075-68425-3|1|false
To Your Eternity #10|10|10|/panini-manga-mx/to-your-eternity/to-your-eternity-10.jpg|192|119.0|MXN|2021-08-18|El entrenamiento de Fushi hace evolucionar sus poderes. Mientras Entretanto, el príncipe Bonchien busca nuevos aliados para combatir a los golpeadores. Fushi se muestra impaciente por proteger Renril, pero necesitará ganarse la confianza y cooperación de sus habitantes, ya quepues, si bien se vale solo puedepara combatir solo, necesitará derequerirá su ayuda para defenderlos.|978-6-075-68562-5|1|false
